"","age","Mspline","Sspline","Lspline"
"1",6,-1.01461017187887e-06,-1.56835599064015e-06,0
"2",6.25,-9.42000142778454e-07,-1.39335049631484e-06,0
"3",6.5,-8.7236204482366e-07,-1.2253074602904e-06,0
"4",6.75,-8.09651257149824e-07,-1.06702372738854e-06,0
"5",7,-7.58620508634067e-07,-9.22014845305963e-07,0
"6",7.25,-7.21827256633389e-07,-7.9223197987574e-07,0
"7",7.5,-6.97170591479335e-07,-6.77124849472049e-07,0
"8",7.75,-6.80072421488376e-07,-5.74747877058607e-07,0
"9",8,-6.66601907006736e-07,-4.83365736159147e-07,0
"10",8.25,-6.51846471910744e-07,-4.00205112415994e-07,0
"11",8.5,-6.29544680386118e-07,-3.21226369635018e-07,0
"12",8.75,-5.9409554431511e-07,-2.42710930221067e-07,0
"13",9,-5.41192953562586e-07,-1.6172564178173e-07,0
"14",9.25,-4.71118199563136e-07,-7.78857564753474e-08,0
"15",9.5,-3.87090457465433e-07,7.5436824272055e-09,0
"16",9.75,-2.91867541690749e-07,9.35155429894301e-08,0
"17",10,-1.88098642439627e-07,1.78975473922975e-07,0
"18",10.25,-7.86632314841995e-08,2.62653101863394e-07,0
"19",10.5,3.31631575534175e-08,3.42963298538557e-07,0
"20",10.75,1.44452956263308e-07,4.18492557418756e-07,0
"21",11,2.52683523882524e-07,4.88041396974268e-07,0
"22",11.25,3.55768336568474e-07,5.50636174540334e-07,0
"23",11.5,4.52476358603349e-07,6.05734702688321e-07,0
"24",11.75,5.41961047595407e-07,6.52991051446061e-07,0
"25",12,6.23500937102506e-07,6.92125449126835e-07,0
"26",12.25,6.9648408373979e-07,7.22915526586709e-07,0
"27",12.5,7.60346953398994e-07,7.45177068817854e-07,0
"28",12.75,8.14158976680801e-07,7.5865903463937e-07,0
"29",13,8.56866790854838e-07,7.63099804897832e-07,0
"30",13.25,8.87559381546055e-07,7.5828926694374e-07,0
"31",13.5,9.05447901544676e-07,7.44059075154929e-07,0
"32",13.75,9.09859068087826e-07,7.20281816329882e-07,0
"33",14,9.00467068021271e-07,6.87012564108691e-07,0
"34",14.25,8.77759208428586e-07,6.44769495308783e-07,0
"35",14.5,8.4252106891114e-07,5.94229265273027e-07,0
"36",14.75,7.95430651123752e-07,5.35985664996963e-07,0
"37",15,7.37080095625231e-07,4.70567122851095e-07,0
"38",15.25,6.67537222831527e-07,3.9820422838982e-07,0
"39",15.5,5.8822187032348e-07,3.19833268619396e-07,0
"40",15.75,5.00704652850459e-07,2.36456034814758e-07,0
"41",16,4.06425848531455e-07,1.48990905605995e-07,0
"42",16.25,3.06706587238637e-07,5.82800149737106e-08,0
"43",16.5,2.02758974054973e-07,-3.49042627925678e-08,0
"44",16.75,9.57057215700274e-08,-1.29847847238351e-07,0
"45",17,-1.31160264871255e-08,-2.25731713363042e-07,0
"46",17.25,-1.22505120714322e-07,-3.21818749426939e-07,0
"47",17.5,-2.31785599602574e-07,-4.17677534461647e-07,0
"48",17.75,-3.40733807391302e-07,-5.1314682839726e-07,0
"49",18,-4.49173783501067e-07,-6.08096061893715e-07,0
